product_name,price,link,weight/price
Royal Canin Maxi Ageing +8 Años Razas Grandes, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-ageing-8-anos-razas-grandes.html,3 Kg./19.99 €/u && 15 Kg/59.99 €/u && Pack 2 x 15 Kg/115.98 €/u && 
Royal Canin Medium Adult +7 Años Razas Medianas, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-adult-7-anos-razas-medianas.html,4 Kg./19.99 €/u && 10 Kg/48.99 €/u && 15 Kg/55.99 €/u && Pack 2 x 15 Kg/107.98 €/u && 
Royal Canin Medium Ageing +10 Años Razas Medianas, 16.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-medium-ageing-10-anos-razas-medianas.html,3 Kg./16.99 €/u && 15 Kg/59.99 €/u && Pack 2 x 15 Kg/115.98 €/u && 
Royal Canin Beagle Adulto, 18.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-beagle-adulto.html,3 Kg./18.99 €/u && 12 Kg/55.99 €/u && Pack 2 x 12 Kg/109.98 €/u && 
Royal Canin Cocker Cachorro, 19.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-cocker-cachorro.html,3 Kg./19.99 €/u && Pack 2 x 3 Kg/37.98 €/u && 
Royal Canin Jack Russell Adulto, 14.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-jack-russell-adulto.html,"1,5 Kg./14.99 €/u && 3 Kg./19.99 €/u && 7,5 Kg/34.99 €/u && Pack 2 x 7.5 Kg/67.98 €/u && "
Royal Canin Jack Russell Cachorro, 15.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-jack-russell-cachorro.html,"1,5 Kg./15.99 €/u && 3 Kg./22.99 €/u && Pack 2 x 3 Kg/43.98 €/u && "
Royal Canin Schnauzer Miniature Cachorro, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-schnauzer-miniature-cachorro.html,"1,5 Kg./12.99 €/u && Pack 2 x 1.5 Kg/23.98 €/u && "
Royal Canin Carlino Cachorro, 12.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-carlino-cachorro.html,"1,5 Kg./12.99 €/u && Pack 2 x 1.5 Kg/23.98 €/u && "
Royal Canin Maxi Joint Care, 89.98 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-maxi-joint-care.html,10 Kg/45.99 €/u && Pack 2 x 10 Kg/89.98 €/u && 
Royal Canin X-Small Sterilised, 11.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-x-small-sterilised.html,"1,5 Kg./11.99 €/u && Pack 2 x 1.5 Kg/21.98 €/u && "
Royal Canin Sporting Life Endurance 4800, 55.99 € ,https://www.petsonic.com/sportin-life-endurance-4800.html,13 Kg/55.99 €/u && Pack 2 x 13 Kg/107.98 €/u && 
Royal Canin Sporting Life Trail 4300, 62.99 € ,https://www.petsonic.com/sportin-life-trail-4300.html,Pack 2 x 15 Kg/121.98 €/u && 15 Kg/62.99 €/u && 
Royal Canin Labrador Retriever Sterilised, 56.99 € ,https://www.petsonic.com/labrador-retriever-sterilised.html,12 Kg/56.99 €/u && Pack 2 x 12 Kg/111.98 €/u && 
Royal Canin Digestive Care Medium, 49.99 € ,https://www.petsonic.com/pienso-para-perros-royal-canin-digestive-care-medium.html,10 Kg/49.99 €/u && Pack 2 x 10 Kg/89.98 €/u && 
Royal Canin ROYAL CANINE ADULT DERMACOMFORT MINI 4KG, 29.69 € ,https://www.petsonic.com/royal-canine-adult-dermacomfort-mini-4kg.html,
